temp ,Vthn (V)
-40.00,514.4E-3
-35.61,510.3E-3
-31.22,506.2E-3
-26.84,502.1E-3
-22.45,498.0E-3
-18.06,493.9E-3
-13.67,489.8E-3
-9.286,485.7E-3
-4.898,481.6E-3
-510.2E-3,477.5E-3
3.878,473.3E-3
8.265,469.2E-3
12.65,465.1E-3
17.04,461.0E-3
21.43,456.9E-3
25.82,452.8E-3
30.20,448.7E-3
34.59,444.6E-3
38.98,440.5E-3
43.37,436.4E-3
47.76,432.3E-3
52.14,428.2E-3
56.53,424.1E-3
60.92,420.0E-3
65.31,415.9E-3
69.69,411.8E-3
74.08,407.7E-3
78.47,403.5E-3
82.86,399.4E-3
87.24,395.3E-3
91.63,391.2E-3
96.02,387.1E-3
100.4,383.0E-3
104.8,378.9E-3
109.2,374.8E-3
113.6,370.7E-3
118.0,366.6E-3
122.3,362.5E-3
126.7,358.4E-3
131.1,354.3E-3
135.5,350.2E-3
139.9,346.1E-3
144.3,342.0E-3
148.7,337.8E-3
153.1,333.7E-3
157.4,329.6E-3
161.8,325.5E-3
166.2,321.4E-3
170.6,317.3E-3
175.0,313.2E-3
